,name,sensors_types
0,Infinix S3X,fingerprint
1,Infinix S3X,accelerometer
2,Infinix S3X,gyro
3,Infinix S3X,proximity
4,Infinix S3X,compass
5,Infinix Hot 6X,fingerprint
6,Infinix Hot 6X,accelerometer
7,Infinix Hot 6X,proximity
8,Infinix Hot 6X,compass
9,Infinix Note 5 Stylus,fingerprint
10,Infinix Note 5 Stylus,accelerometer
11,Infinix Note 5 Stylus,gyro
12,Infinix Note 5 Stylus,proximity
13,Infinix Note 5 Stylus,compass
14,Infinix Smart 2 HD,accelerometer
15,Infinix Smart 2 HD,proximity
16,Infinix Smart 2 HD,compass
17,Infinix Smart 2 HD,fingerprint
18,Infinix Note 5,fingerprint
19,Infinix Note 5,accelerometer
20,Infinix Note 5,gyro
21,Infinix Note 5,proximity
22,Infinix Note 5,compass
23,Infinix Smart 2,accelerometer
24,Infinix Smart 2,proximity; fingerprint
25,Infinix Hot 6,fingerprint
26,Infinix Hot 6,accelerometer
27,Infinix Hot 6,proximity
28,Infinix Hot 6,compass
29,Infinix Smart 2 Pro,fingerprint
30,Infinix Smart 2 Pro,accelerometer
31,Infinix Smart 2 Pro,gyro
32,Infinix Smart 2 Pro,proximity
33,Infinix Smart 2 Pro,compass
34,Infinix Hot S3,fingerprint
35,Infinix Hot S3,accelerometer
36,Infinix Hot S3,proximity
37,Infinix Hot S3,compass
38,Infinix Hot 6 Pro,fingerprint
39,Infinix Hot 6 Pro,accelerometer
40,Infinix Hot 6 Pro,proximity
41,Infinix Hot 6 Pro,compass
42,Infinix Zero 5,fingerprint
43,Infinix Zero 5,accelerometer
44,Infinix Zero 5,gyro
45,Infinix Zero 5,proximity
46,Infinix Zero 5,compass
47,Infinix Zero 5 Pro,fingerprint
48,Infinix Zero 5 Pro,accelerometer
49,Infinix Zero 5 Pro,gyro
50,Infinix Zero 5 Pro,proximity
51,Infinix Zero 5 Pro,compass
52,Infinix Hot 5,fingerprint
53,Infinix Hot 5,accelerometer
54,Infinix Hot 5,proximity
55,Infinix Hot 5,compass
56,Infinix Hot 5 Lite,accelerometer
57,Infinix Hot 5 Lite,proximity
58,Infinix Hot 5 Lite,compass
59,Infinix Note 4 Pro,fingerprint
60,Infinix Note 4 Pro,accelerometer
61,Infinix Note 4 Pro,gyro
62,Infinix Note 4 Pro,proximity
63,Infinix Note 4 Pro,compass
64,Infinix Zero 4,fingerprint
65,Infinix Zero 4,accelerometer
66,Infinix Zero 4,gyro
67,Infinix Zero 4,proximity
68,Infinix Zero 4,compass
69,Infinix Note 4,fingerprint
70,Infinix Note 4,accelerometer
71,Infinix Note 4,proximity
72,Infinix Note 4,compass
73,Infinix Zero 4 Plus,fingerprint
74,Infinix Zero 4 Plus,accelerometer
75,Infinix Zero 4 Plus,gyro
76,Infinix Zero 4 Plus,proximity
77,Infinix Zero 4 Plus,compass
78,Infinix S2 Pro,fingerprint
79,Infinix S2 Pro,accelerometer
80,Infinix S2 Pro,gyro
81,Infinix S2 Pro,proximity
82,Infinix S2 Pro,compass
83,Infinix Hot 4 Pro,fingerprint
84,Infinix Hot 4 Pro,accelerometer
85,Infinix Hot 4 Pro,proximity
86,Infinix Hot 4 Pro,compass
87,Infinix Hot 4,fingerprint
88,Infinix Hot 4,accelerometer
89,Infinix Hot 4,proximity
90,Infinix Hot 4,compass
91,Infinix Note 3 Pro,fingerprint
92,Infinix Note 3 Pro,accelerometer
93,Infinix Note 3 Pro,proximity
94,Infinix Note 3 Pro,compass
95,Infinix Note 3,fingerprint
96,Infinix Note 3,accelerometer
97,Infinix Note 3,proximity
98,Infinix Note 3,compass
99,Infinix Smart,accelerometer
100,Infinix Smart,proximity
101,Infinix Hot S,fingerprint
102,Infinix Hot S,accelerometer
103,Infinix Hot S,proximity
104,Infinix Hot S,compass
105,Infinix Note 11i,fingerprint
106,Infinix Note 11i,accelerometer
107,Infinix Note 11i,gyro
108,Infinix Note 11i,proximity
109,Infinix Note 11i,compass
110,Infinix Smart 5 Pro,fingerprint
111,Infinix Smart 5 Pro,accelerometer
112,Infinix Smart 5 Pro,proximity
113,Infinix Note 11s,fingerprint
114,Infinix Note 11s,accelerometer
115,Infinix Note 11s,gyro
116,Infinix Note 11s,proximity
117,Infinix Note 11s,compass
118,Infinix Note 11,fingerprint
119,Infinix Note 11,accelerometer
120,Infinix Note 11,gyro
121,Infinix Note 11,proximity
122,Infinix Note 11,compass
123,Infinix Hot 11 Play,fingerprint
124,Infinix Hot 11 Play,accelerometer
125,Infinix Hot 11 Play,proximity
126,Infinix Hot 11 Play,compass
127,Infinix Smart 6,fingerprint
128,Infinix Smart 6,accelerometer
129,Infinix Smart 6,proximity
130,Infinix Hot 11s,fingerprint
131,Infinix Hot 11s,accelerometer
132,Infinix Hot 11s,gyro
133,Infinix Hot 11s,proximity
134,Infinix Hot 11s,compass
135,Infinix Note 11 Pro,fingerprint
136,Infinix Note 11 Pro,accelerometer
137,Infinix Note 11 Pro,gyro
138,Infinix Note 11 Pro,proximity
139,Infinix Note 11 Pro,compass
140,Infinix Hot 11,fingerprint
141,Infinix Hot 11,accelerometer
142,Infinix Hot 11,gyro
143,Infinix Hot 11,proximity
144,Infinix Hot 11,compass
145,Infinix Zero X,fingerprint
146,Infinix Zero X,accelerometer
147,Infinix Zero X,gyro
148,Infinix Zero X,proximity
149,Infinix Zero X,compass
150,Infinix Zero X Neo,fingerprint
151,Infinix Zero X Neo,accelerometer
152,Infinix Zero X Neo,gyro
153,Infinix Zero X Neo,proximity
154,Infinix Zero X Neo,compass
155,Infinix Hot 10i,fingerprint
156,Infinix Hot 10i,accelerometer
157,Infinix Hot 10i,proximity
158,Infinix Zero X Pro,fingerprint
159,Infinix Zero X Pro,accelerometer
160,Infinix Zero X Pro,gyro
161,Infinix Zero X Pro,proximity
162,Infinix Zero X Pro,compass
163,Infinix Note 10 Pro NFC,fingerprint
164,Infinix Note 10 Pro NFC,accelerometer
165,Infinix Note 10 Pro NFC,gyro
166,Infinix Note 10 Pro NFC,proximity
167,Infinix Note 10 Pro NFC,compass
168,Infinix Note 10,fingerprint
169,Infinix Note 10,accelerometer
170,Infinix Note 10,proximity
171,Infinix Note 10,compass
172,Infinix Hot 10T,fingerprint
173,Infinix Hot 10T,accelerometer
174,Infinix Hot 10T,proximity
175,Infinix Hot 10T,compass
176,Infinix Hot 10s NFC,fingerprint
177,Infinix Hot 10s NFC,accelerometer
178,Infinix Hot 10s NFC,proximity
179,Infinix Hot 10s,fingerprint
180,Infinix Hot 10s,accelerometer
181,Infinix Hot 10s,proximity
182,Infinix Hot 10 Play,fingerprint
183,Infinix Hot 10 Play,accelerometer
184,Infinix Hot 10 Play,proximity
185,Infinix Hot 10 Play,compass
186,Infinix Smart 5 (India),fingerprint
187,Infinix Smart 5 (India),accelerometer
188,Infinix Smart 5 (India),gyro
189,Infinix Smart 5 (India),proximity
190,Infinix Smart 5 (India),compass
191,Infinix Note 10 Pro,fingerprint
192,Infinix Note 10 Pro,accelerometer
193,Infinix Note 10 Pro,gyro
194,Infinix Note 10 Pro,proximity
195,Infinix Note 10 Pro,compass
196,Infinix Smart HD 2021,fingerprint
197,Infinix Smart HD 2021,accelerometer
198,Infinix Smart HD 2021,proximity
199,Infinix Zero 8i,fingerprint
200,Infinix Zero 8i,accelerometer
201,Infinix Zero 8i,gyro
202,Infinix Zero 8i,proximity
203,Infinix Zero 8i,compass
204,Infinix Note 8i,fingerprint
205,Infinix Note 8i,accelerometer
206,Infinix Note 8i,proximity
207,Infinix Note 8i,compass
208,Infinix Note 8,fingerprint
209,Infinix Note 8,accelerometer
210,Infinix Note 8,gyro
211,Infinix Note 8,proximity
212,Infinix Note 8,compass
213,Infinix Hot 10 Lite,fingerprint
214,Infinix Hot 10 Lite,accelerometer
215,Infinix Hot 10 Lite,proximity
216,Infinix Zero 8,fingerprint
217,Infinix Zero 8,accelerometer
218,Infinix Zero 8,gyro
219,Infinix Zero 8,proximity
220,Infinix Zero 8,compass
221,Infinix Smart 5,fingerprint
222,Infinix Smart 5,accelerometer
223,Infinix Smart 5,gyro
224,Infinix Smart 5,proximity
225,Infinix Hot 9 Play,fingerprint
226,Infinix Hot 9 Play,accelerometer
227,Infinix Hot 9 Play,gyro
228,Infinix Hot 9 Play,proximity
229,Infinix Hot 9 Play,compass
230,Infinix Note 7,fingerprint
231,Infinix Note 7,accelerometer
232,Infinix Note 7,proximity
233,Infinix Note 7,compass
234,Infinix Hot 10,fingerprint
235,Infinix Hot 10,accelerometer
236,Infinix Hot 10,gyro
237,Infinix Hot 10,proximity
238,Infinix Hot 10,compass
239,Infinix Note 7 Lite,fingerprint
240,Infinix Note 7 Lite,accelerometer
241,Infinix Note 7 Lite,proximity
242,Infinix Note 7 Lite,compass
243,Infinix S5 Pro (16+32),fingerprint
244,Infinix S5 Pro (16+32),accelerometer
245,Infinix S5 Pro (16+32),gyro
246,Infinix S5 Pro (16+32),proximity
247,Infinix S5 Pro (16+32),compass
248,Infinix S5 Pro (48+40),fingerprint
249,Infinix S5 Pro (48+40),accelerometer
250,Infinix S5 Pro (48+40),gyro
251,Infinix S5 Pro (48+40),proximity
252,Infinix S5 Pro (48+40),compass
253,Infinix Hot 9 Pro,fingerprint
254,Infinix Hot 9 Pro,accelerometer
255,Infinix Hot 9 Pro,gyro
256,Infinix Hot 9 Pro,proximity
257,Infinix Hot 9 Pro,compass
258,Infinix S5 lite,fingerprint
259,Infinix S5 lite,accelerometer
260,Infinix S5 lite,proximity
261,Infinix S5 lite,compass
262,Infinix S5 Pro,fingerprint
263,Infinix S5 Pro,accelerometer
264,Infinix S5 Pro,gyro
265,Infinix S5 Pro,proximity
266,Infinix S5 Pro,compass
267,Infinix Hot 9,fingerprint
268,Infinix Hot 9,accelerometer
269,Infinix Hot 9,gyro
270,Infinix Hot 9,proximity
271,Infinix Hot 9,compass
272,Infinix Smart 4,fingerprint
273,Infinix Smart 4,accelerometer
274,Infinix Smart 4,proximity
275,Infinix Smart 4,compass
276,Infinix S5,fingerprint
277,Infinix S5,accelerometer
278,Infinix S5,gyro
279,Infinix S5,proximity
280,Infinix S5,compass
281,Infinix Smart 4c,fingerprint
282,Infinix Smart 4c,accelerometer
283,Infinix Smart 4c,proximity
284,Infinix Smart 4c,compass
285,Infinix Hot 8,fingerprint
286,Infinix Hot 8,accelerometer
287,Infinix Hot 8,proximity
288,Infinix Hot 8,compass
289,Infinix Note 6,fingerprint
290,Infinix Note 6,accelerometer
291,Infinix Note 6,gyro
292,Infinix Note 6,proximity
293,Infinix Note 6,compass
294,Infinix S4,fingerprint
295,Infinix S4,accelerometer
296,Infinix S4,gyro
297,Infinix S4,proximity
298,Infinix S4,compass
299,Infinix Smart3 Plus,fingerprint
300,Infinix Smart3 Plus,accelerometer
301,Infinix Smart3 Plus,proximity
302,Infinix Smart3 Plus,compass
303,Infinix Hot 8 Lite,fingerprint
304,Infinix Hot 8 Lite,accelerometer
305,Infinix Hot 8 Lite,proximity
306,Infinix Hot 8 Lite,compass
307,Infinix Hot 7 Pro,fingerprint
308,Infinix Hot 7 Pro,accelerometer
309,Infinix Hot 7 Pro,proximity
310,Infinix Hot 7 Pro,compass
311,Infinix Hot 7,fingerprint
312,Infinix Hot 7,accelerometer
313,Infinix Hot 7,proximity
314,Infinix Hot 7,compass
315,Infinix Smart 8 Plus,fingerprint
316,Infinix Smart 8 Plus,accelerometer
317,Infinix Smart 8 Plus,proximity
318,Infinix Smart 8 Plus,compass
319,Infinix Zero 6,fingerprint
320,Infinix Zero 6,accelerometer
321,Infinix Zero 6,gyro
322,Infinix Zero 6,proximity
323,Infinix Zero 6,compass
324,Infinix Zero 6 Pro,fingerprint
325,Infinix Zero 6 Pro,accelerometer
326,Infinix Zero 6 Pro,gyro
327,Infinix Zero 6 Pro,proximity
328,Infinix Zero 6 Pro,compass
329,Infinix Smart 8 Pro,fingerprint
330,Infinix Smart 8 Pro,accelerometer
331,Infinix Smart 8 Pro,gyro
332,Infinix Smart 8 Pro,proximity
333,Infinix Smart 8 Pro,compass
334,Infinix Smart 8 HD,fingerprint
335,Infinix Smart 8 HD,accelerometer
336,Infinix Smart 8 HD,proximity
337,Infinix Smart 8 HD,compass
338,Infinix Hot 40 Pro,fingerprint
339,Infinix Hot 40 Pro,accelerometer
340,Infinix Hot 40 Pro,gyro
341,Infinix Hot 40 Pro,proximity
342,Infinix Hot 40 Pro,compass
343,Infinix Hot 40,fingerprint
344,Infinix Hot 40,accelerometer
345,Infinix Hot 40,proximity
346,Infinix Hot 40,compass
347,Infinix Smart 8 (India),fingerprint
348,Infinix Smart 8 (India),accelerometer
349,Infinix Smart 8 (India),proximity
350,Infinix Smart 8 (India),compass
351,Infinix Zero 30 4G,fingerprint
352,Infinix Zero 30 4G,accelerometer
353,Infinix Zero 30 4G,gyro
354,Infinix Zero 30 4G,proximity
355,Infinix Zero 30 4G,compass
356,Infinix Smart 8,fingerprint
357,Infinix Smart 8,accelerometer
358,Infinix Smart 8,proximity
359,Infinix Smart 8,compass
360,Infinix GT 10 Pro,fingerprint
361,Infinix GT 10 Pro,accelerometer
362,Infinix GT 10 Pro,proximity
363,Infinix GT 10 Pro,compass
364,Infinix GT 10 Pro,gyro
365,Infinix Zero 30,fingerprint
366,Infinix Zero 30,accelerometer
367,Infinix Zero 30,gyro
368,Infinix Zero 30,proximity
369,Infinix Zero 30,compass
370,Infinix Hot 30 5G,fingerprint
371,Infinix Hot 30 5G,accelerometer
372,Infinix Hot 30 5G,proximity
373,Infinix Hot 30 5G,compass
374,Infinix Hot 40i,fingerprint
375,Infinix Hot 40i,accelerometer
376,Infinix Hot 40i,proximity
377,Infinix Hot 40i,compass
378,Infinix Note 30 VIP,fingerprint
379,Infinix Note 30 VIP,accelerometer
380,Infinix Note 30 VIP,gyro
381,Infinix Note 30 VIP,proximity
382,Infinix Note 30 VIP,compass
383,Infinix Note 30 Pro,fingerprint
384,Infinix Note 30 Pro,accelerometer
385,Infinix Note 30 Pro,gyro
386,Infinix Note 30 Pro,proximity
387,Infinix Note 30 Pro,compass
388,Infinix Hot 30 Play NFC,fingerprint
389,Infinix Hot 30 Play NFC,accelerometer
390,Infinix Hot 30 Play NFC,proximity
391,Infinix Hot 30 Play NFC,compass
392,Infinix Note 30,fingerprint
393,Infinix Note 30,accelerometer
394,Infinix Note 30,gyro
395,Infinix Note 30,proximity
396,Infinix Note 30,compass
397,Infinix Note 30i,fingerprint
398,Infinix Note 30i,accelerometer
399,Infinix Note 30i,proximity
400,Infinix Note 30i,compass
401,Infinix Smart 7 HD,fingerprint
402,Infinix Smart 7 HD,accelerometer
403,Infinix Smart 7 HD,proximity
404,Infinix Hot 30i,fingerprint
405,Infinix Hot 30i,accelerometer
406,Infinix Hot 30i,proximity
407,Infinix Hot 30i,compass
408,Infinix Hot 30,fingerprint
409,Infinix Hot 30,accelerometer
410,Infinix Hot 30,proximity
411,Infinix Hot 30,compass
412,Infinix Smart 7 (India),fingerprint
413,Infinix Smart 7 (India),accelerometer
414,Infinix Smart 7 (India),proximity
415,Infinix Smart 7 (India),compass
416,Infinix Note 30 5G,fingerprint
417,Infinix Note 30 5G,accelerometer
418,Infinix Note 30 5G,gyro
419,Infinix Note 30 5G,proximity
420,Infinix Note 30 5G,compass
421,Infinix Zero 5G 2023,fingerprint
422,Infinix Zero 5G 2023,accelerometer
423,Infinix Zero 5G 2023,gyro
424,Infinix Zero 5G 2023,proximity
425,Infinix Zero 5G 2023,compass
426,Infinix Hot 20 Play,fingerprint
427,Infinix Hot 20 Play,accelerometer
428,Infinix Hot 20 Play,gyro
429,Infinix Hot 20 Play,proximity
430,Infinix Hot 20 Play,compass
431,Infinix Smart 7,fingerprint
432,Infinix Smart 7,accelerometer
433,Infinix Smart 7,proximity
434,Infinix Hot 20,fingerprint
435,Infinix Hot 20,accelerometer
436,Infinix Hot 20,proximity
437,Infinix Hot 20,compass
438,Infinix Note 12 (2023),fingerprint
439,Infinix Note 12 (2023),accelerometer
440,Infinix Note 12 (2023),gyro
441,Infinix Note 12 (2023),proximity
442,Infinix Note 12 (2023),compass
443,Infinix Hot 20S,fingerprint
444,Infinix Hot 20S,accelerometer
445,Infinix Hot 20S,proximity
446,Infinix Hot 20S,compass
447,Infinix Hot 20 5G,fingerprint
448,Infinix Hot 20 5G,accelerometer
449,Infinix Hot 20 5G,proximity
450,Infinix Hot 20 5G,compass
451,Infinix Zero Ultra,fingerprint
452,Infinix Zero Ultra,accelerometer
453,Infinix Zero Ultra,gyro
454,Infinix Zero Ultra,proximity
455,Infinix Zero Ultra,compass
456,Infinix Zero 20,fingerprint
457,Infinix Zero 20,accelerometer
458,Infinix Zero 20,gyro
459,Infinix Zero 20,proximity
460,Infinix Zero 20,compass
461,Infinix Note 12i 2022,fingerprint
462,Infinix Note 12i 2022,accelerometer
463,Infinix Note 12i 2022,gyro
464,Infinix Note 12i 2022,proximity
465,Infinix Note 12i 2022,compass
466,Infinix Hot 20i,fingerprint
467,Infinix Hot 20i,accelerometer
468,Infinix Hot 20i,proximity
469,Infinix Smart 6 Plus (India),fingerprint
470,Infinix Smart 6 Plus (India),accelerometer
471,Infinix Smart 6 Plus (India),proximity
472,Infinix Hot 12 Pro,fingerprint
473,Infinix Hot 12 Pro,accelerometer
474,Infinix Hot 12 Pro,proximity
475,Infinix Hot 12 Pro,compass
476,Infinix Note 12 5G,fingerprint
477,Infinix Note 12 5G,accelerometer
478,Infinix Note 12 5G,gyro
479,Infinix Note 12 5G,proximity
480,Infinix Note 12 5G,compass
481,Infinix Note 12 Pro 5G,fingerprint
482,Infinix Note 12 Pro 5G,accelerometer
483,Infinix Note 12 Pro 5G,gyro
484,Infinix Note 12 Pro 5G,proximity
485,Infinix Note 12 Pro 5G,compass
486,Infinix Note 12 Pro,fingerprint
487,Infinix Note 12 Pro,accelerometer
488,Infinix Note 12 Pro,proximity
489,Infinix Note 12 Pro,gyro
490,Infinix Note 12 Pro,compass
491,Infinix Hot 11s NFC,fingerprint
492,Infinix Hot 11s NFC,accelerometer
493,Infinix Hot 11s NFC,gyro
494,Infinix Hot 11s NFC,proximity
495,Infinix Hot 11s NFC,compass
496,Infinix Hot 12 Play NFC,fingerprint
497,Infinix Hot 12 Play NFC,accelerometer
498,Infinix Hot 12 Play NFC,proximity
499,Infinix Hot 12 Play NFC,compass
500,Infinix Hot 12 Play,fingerprint
501,Infinix Hot 12 Play,accelerometer
502,Infinix Hot 12 Play,proximity
503,Infinix Hot 12 Play,compass
504,Infinix Note 12 G96,fingerprint
505,Infinix Note 12 G96,accelerometer
506,Infinix Note 12 G96,gyro
507,Infinix Note 12 G96,proximity
508,Infinix Note 12 G96,compass
509,Infinix Note 12i,fingerprint
510,Infinix Note 12i,accelerometer
511,Infinix Note 12i,gyro
512,Infinix Note 12i,proximity
513,Infinix Note 12i,compass
514,Infinix Note 12,fingerprint
515,Infinix Note 12,accelerometer
516,Infinix Note 12,gyro
517,Infinix Note 12,proximity
518,Infinix Note 12,compass
519,Infinix Hot 12,fingerprint
520,Infinix Hot 12,accelerometer
521,Infinix Hot 12,proximity
522,Infinix Hot 12,compass
523,Infinix Note 12 VIP,fingerprint
524,Infinix Note 12 VIP,accelerometer
525,Infinix Note 12 VIP,gyro
526,Infinix Note 12 VIP,proximity
527,Infinix Note 12 VIP,compass
528,Infinix Hot 11 2022,fingerprint
529,Infinix Hot 11 2022,accelerometer
530,Infinix Hot 11 2022,proximity
531,Infinix Hot 12i,fingerprint
532,Infinix Hot 12i,accelerometer
533,Infinix Hot 12i,proximity
534,Infinix Smart 6 HD,accelerometer
535,Infinix Smart 6 HD,proximity
536,alcatel Pixi 3 (4.5),accelerometer
537,alcatel Pixi 3 (7),accelerometer
538,alcatel Pixi 3 (5),accelerometer
539,alcatel Pop 10,accelerometer
540,alcatel Pop 10,proximity
541,alcatel Pixi 3 (3.5) Firefox,accelerometer
542,alcatel Pixi 3 (4),accelerometer
543,Infinix Zero 5G,fingerprint
544,Infinix Zero 5G,accelerometer
545,Infinix Zero 5G,gyro
546,Infinix Zero 5G,proximity
547,Infinix Zero 5G,compass
548,alcatel Pop D3,accelerometer
549,alcatel Pop D3,proximity
550,alcatel Pixi 3 (3.5),accelerometer
551,alcatel Pop D1,accelerometer
552,alcatel Pop D1,proximity
553,alcatel Fire C 2G,accelerometer
554,alcatel Pop 2 (5) Premium,accelerometer
555,alcatel Pop 2 (5) Premium,proximity
556,alcatel Pop 2 (5) Premium,compass
557,alcatel Pop 2 (4),accelerometer
558,alcatel Pop 2 (4),proximity
559,alcatel Pop 2 (4),compass
560,alcatel Pop 2 (5),accelerometer
561,alcatel Pop 2 (5),proximity
562,alcatel Pop Icon,accelerometer
563,alcatel Pop Icon,proximity
564,alcatel Pop Icon,compass
565,alcatel Pop 2 (4.5),accelerometer
566,alcatel Pop 2 (4.5),gyro
567,alcatel Pop 2 (4.5),proximity
568,alcatel Pop 2 (4.5),compass
569,alcatel Evolve 2,accelerometer
570,alcatel Evolve 2,proximity
571,alcatel Fierce 2,accelerometer
572,alcatel Fierce 2,proximity
573,alcatel Pop 2 (4.5) Dual SIM,accelerometer
574,alcatel Pop 2 (4.5) Dual SIM,gyro
575,alcatel Pop 2 (4.5) Dual SIM,proximity
576,alcatel Pop 2 (4.5) Dual SIM,compass
577,alcatel Pop 8S,accelerometer
578,alcatel Hero 2,accelerometer
579,alcatel Hero 2,gyro
580,alcatel Hero 2,proximity
581,alcatel Hero 2,compass
582,alcatel Pixi 2,accelerometer
583,alcatel Hero 8,accelerometer
584,alcatel Hero 8,gyro
585,alcatel Hero 8,proximity
586,alcatel Hero 8,compass
587,alcatel Pop D5,accelerometer
588,alcatel Pop C2,accelerometer
589,alcatel 2012,nan
590,alcatel Pixi 8,nan
591,alcatel 2052,nan
592,alcatel 2010,nan
593,alcatel 2040,nan
594,alcatel Pixi 7,nan
595,alcatel 2005,nan
596,alcatel Pop S9,accelerometer
597,alcatel Pop S9,proximity
598,alcatel Pop S9,compass
599,alcatel Pop 7S,nan
600,alcatel Pop S7,accelerometer
601,alcatel Pop S7,proximity
602,alcatel Pop S7,compass
603,alcatel Pop S3,accelerometer
604,alcatel Pop S3,proximity
605,alcatel Pop S3,compass
606,alcatel Fire S,accelerometer
607,alcatel Fire S,proximity
608,alcatel Fire S,compass
609,alcatel Fire 7,accelerometer
610,alcatel Fire E,accelerometer
611,alcatel Fire E,proximity
612,alcatel Fire E,compass
613,alcatel Idol 2 S,accelerometer
614,alcatel Idol 2 S,proximity
615,alcatel Idol 2 S,compass
616,alcatel Idol 2 Mini S,accelerometer
617,alcatel Idol 2 Mini S,proximity
618,alcatel Idol 2 Mini S,compass
619,alcatel Fire C,accelerometer
620,alcatel Fire C,proximity
621,alcatel Idol 2,accelerometer
622,alcatel Idol 2,proximity
623,alcatel Idol 2,compass
624,alcatel Idol 2 Mini,accelerometer
625,alcatel Idol 2 Mini,proximity
626,alcatel Idol 2 Mini,compass
627,alcatel Pop Fit,accelerometer
628,alcatel Pop Fit,proximity
629,alcatel 2000,nan
630,alcatel Idol X+,accelerometer
631,alcatel Idol X+,proximity
632,alcatel Idol X+,compass
633,alcatel Pop C9,accelerometer
634,alcatel Pop C9,proximity
635,alcatel Pop 8,nan
636,alcatel 2001,nan
637,alcatel Pop 7,nan
638,alcatel Fierce,accelerometer
639,alcatel Fierce,proximity
640,alcatel Evolve,accelerometer
641,alcatel Evolve,proximity
642,alcatel Pop C5,accelerometer
643,alcatel Pop C5,proximity
644,alcatel Pop C3,accelerometer
645,alcatel Pop C3,proximity
646,alcatel Pop C1,accelerometer
647,alcatel Pop C7,accelerometer
648,alcatel Pop C7,proximity
649,alcatel Pop C7,compass
650,alcatel Idol Alpha,accelerometer
651,alcatel Idol Alpha,proximity
652,alcatel Idol Alpha,compass
653,alcatel One Touch Evo 8HD,nan
654,alcatel Idol S,accelerometer
655,alcatel Idol S,proximity
656,alcatel Idol S,compass
657,alcatel Hero,accelerometer
658,alcatel Hero,gyro
659,alcatel Hero,proximity
660,alcatel Idol Mini,accelerometer
661,alcatel Idol Mini,proximity
662,alcatel Idol Mini,compass
663,alcatel One Touch T10,accelerometer
664,alcatel One Touch Snap LTE,accelerometer
665,alcatel One Touch Snap LTE,proximity
666,alcatel One Touch Snap LTE,compass
667,alcatel One Touch Pixi,accelerometer
668,alcatel Idol X,accelerometer
669,alcatel Idol X,proximity
670,alcatel Idol X,compass
671,alcatel One Touch Star,accelerometer
672,alcatel One Touch Star,proximity
673,alcatel One Touch Star,compass
674,alcatel One Touch Snap,accelerometer
675,alcatel One Touch Snap,proximity
676,alcatel One Touch Snap,compass
677,alcatel One Touch Fire,accelerometer
678,alcatel One Touch Fire,proximity
679,alcatel One Touch Scribe Easy,accelerometer
680,alcatel One Touch Scribe Easy,proximity
681,alcatel One Touch Scribe Easy,compass
682,alcatel One Touch Evo 7 HD,nan
683,alcatel One Touch Tab 8 HD,nan
684,alcatel One Touch Evo 7,nan
685,alcatel One Touch Tab 7 HD,nan
686,alcatel One Touch Tab 7,nan
687,alcatel One Touch Idol,accelerometer
688,alcatel One Touch Idol,proximity
689,alcatel One Touch Idol,compass
690,alcatel One Touch S'Pop,accelerometer
691,alcatel One Touch S'Pop,proximity
692,alcatel One Touch T'Pop,accelerometer
693,alcatel One Touch T'Pop,proximity
694,alcatel One Touch Idol Ultra,accelerometer
695,alcatel One Touch Idol Ultra,proximity
696,alcatel One Touch Idol Ultra,compass
697,alcatel One Touch M'Pop,accelerometer
698,alcatel One Touch M'Pop,proximity
699,alcatel One Touch X'Pop,accelerometer
700,alcatel One Touch X'Pop,proximity
701,alcatel One Touch X'Pop,compass
702,alcatel One Touch Scribe X,accelerometer
703,alcatel One Touch Scribe X,proximity
704,alcatel One Touch Scribe X,compass
705,alcatel One Touch Scribe HD-LTE,accelerometer
706,alcatel One Touch Scribe HD-LTE,proximity
707,alcatel One Touch Scribe HD-LTE,compass
708,alcatel One Touch Scribe HD,accelerometer
709,alcatel One Touch Scribe HD,proximity
710,alcatel One Touch Scribe HD,compass
711,alcatel OT-997D,accelerometer
712,alcatel OT-997D,proximity
713,alcatel OT-997D,compass
714,alcatel OT-997,accelerometer
715,alcatel OT-997,proximity
716,alcatel OT-997,compass
717,alcatel OT-983,accelerometer
718,alcatel OT-983,proximity
719,alcatel OT-983,compass
720,alcatel OT-992D,accelerometer
721,alcatel OT-988 Shockwave,accelerometer
722,alcatel OT-988 Shockwave,proximity
723,alcatel OT-978,accelerometer
724,alcatel OT-978,proximity
725,alcatel OT-903,accelerometer
726,alcatel OT-903,proximity
727,alcatel OT-668,nan
728,alcatel OT-993,accelerometer
729,alcatel OT-993,proximity
730,alcatel OT-993,compass
731,alcatel OT-986,accelerometer
732,alcatel OT-986,proximity
733,alcatel OT-605,nan
734,alcatel OT-838,nan
735,alcatel OT-991,accelerometer
736,alcatel OT-991,proximity
737,alcatel OT-991,compass
738,alcatel OT-902,nan
739,alcatel A3,fingerprint
740,alcatel A3,accelerometer
741,alcatel A3,proximity
742,alcatel A3,compass
743,alcatel OT-916,accelerometer
744,alcatel OT-916,proximity
745,alcatel OT-916,compass
746,alcatel OT-720,nan
747,alcatel A5 LED,fingerprint
748,alcatel A5 LED,accelerometer
749,alcatel A5 LED,proximity
750,alcatel A5 LED,compass
751,alcatel A3 XL,fingerprint
752,alcatel A3 XL,accelerometer
753,alcatel A3 XL,proximity
754,alcatel Shine Lite,fingerprint
755,alcatel Shine Lite,accelerometer
756,alcatel Shine Lite,proximity
757,alcatel Shine Lite,compass
758,alcatel Pixi 4 Plus Power,accelerometer
759,alcatel Pixi 4 Plus Power,proximity
760,alcatel X1,accelerometer
761,alcatel X1,proximity
762,alcatel X1,compass
